POS,Player,Runs,BF,4s,6s,Against,Venue,Match Date
331,Chris Gayle,107,28,10,9,PBKS,M. Chinnaswamy Stadium,06 May 2011
332,Kane Williamson,81,28,7,5,RCB,M. Chinnaswamy Stadium,17 May 2018
333,Shane Watson,106,28,9,6,RR,Maharashtra Cricket Association's International Stadium,20 April 2018
334,Chris Gayle,62,28,5,6,KKR,Eden Gardens,21 April 2018
335,AB de Villiers,72,28,4,6,DC,Arun Jaitley Stadium,12 May 2018
336,Vijay Shankar,54,28,1,5,CSK,Maharashtra Cricket Association's International Stadium,30 April 2018
337,Ambati Rayudu,50,28,4,4,DC,Arun Jaitley Stadium,18 May 2018
338,Kieron Pollard,70,28,7,5,RR,Narendra Modi Stadium,14 April 2015
339,Nitish Rana,50,28,5,3,KKR,Wankhede Stadium,09 April 2017
340,Wriddhiman Saha,68,28,11,1,SRH,Wankhede Stadium,27 April 2022
341,Rajat Patidar,112,28,12,7,LSG,Eden Gardens,25 May 2022
342,Tilak Varma,61,28,3,5,RR,DY Patil Stadium,02 April 2022
343,Dwayne Smith,74,28,8,4,PBKS,IS Bindra Stadium,07 May 2017
344,Dinesh Karthik,65,28,5,5,DC,Arun Jaitley Stadium,04 May 2017
345,Shreyas Iyer,50,28,4,3,LSG,DY Patil Stadium,18 May 2022
346,David Miller,94,28,8,6,CSK,Maharashtra Cricket Association Stadium,17 April 2022
347,Ambati Rayudu,78,28,7,6,PBKS,Wankhede Stadium,25 April 2022
348,Murali Vijay,113,28,15,4,DC,Chidambaram,25 May 2012
349,Gautam Gambhir,93,28,9,5,RCB,Eden Gardens,28 April 2012
350,Gautam Gambhir,64,28,9,1,RCB,M. Chinnaswamy Stadium,10 April 2012
351,Virender Sehwag,87,28,10,3,PWI,Maharashtra Cricket Association's International Stadium,24 April 2012
352,Andre Russell,66,28,9,2,PBKS,Maharashtra Cricket Association's International Stadium,18 April 2015
353,MS Dhoni,53,28,4,4,SRH,Chidambaram,11 April 2015
354,Venugopal Rao,71,28,4,6,KKR,Rajiv Gandhi Intl. Cricket Stadium,11 May 2008
355,Adam Gilchrist,109,28,9,10,MI,DY Patil Stadium,27 April 2008
356,Andrew Symonds,117,29,11,7,RR,Rajiv Gandhi Intl. Cricket Stadium,24 April 2008
357,Graeme Smith,91,29,9,4,CSK,Chidambaram,24 May 2008
358,Swapnil Asnodkar,60,29,10,1,KKR,Sawai Mansingh Stadium,01 May 2008
359,Ambati Rayudu,62,29,5,3,DC,Arun Jaitley Stadium,27 April 2012
360,Rohit Sharma,50,29,3,3,PBKS,IS Bindra Stadium,25 April 2012
361,Rohit Sharma,109,29,12,5,KKR,Eden Gardens,12 May 2012
362,Tillakaratne Dilshan,71,29,8,2,DEC,M. Chinnaswamy Stadium,06 May 2012
363,Kieron Pollard,64,29,6,4,RR,Wankhede Stadium,11 April 2012
364,Shreyas Iyer,93,29,3,10,KKR,Arun Jaitley Stadium,27 April 2018
365,Quinton de Kock,50,29,9,1,SRH,Shaheed Veer Narayan Singh International Cricket Stadium,09 May 2015
366,David Miller,54,29,1,5,RR,Narendra Modi Stadium,21 April 2015
367,Suryakumar Yadav,72,29,6,3,RR,Sawai Mansingh Stadium,22 April 2018
368,AB de Villiers,133,29,19,4,MI,Wankhede Stadium,10 May 2015
369,Dwayne Bravo,62,29,8,1,RR,Narendra Modi Stadium,19 April 2015
370,Suresh Raina,62,29,4,6,RCB,M. Chinnaswamy Stadium,22 April 2015
371,Chris Gayle,62,29,6,4,DC,Arun Jaitley Stadium,26 April 2015
372,Suryakumar Yadav,53,29,7,1,DC,Wankhede Stadium,14 April 2018
373,Shreyas Iyer,52,29,4,3,RCB,M. Chinnaswamy Stadium,21 April 2018
374,Wriddhiman Saha,115,29,10,8,KKR,M. Chinnaswamy Stadium,01 June 2014
375,Parthiv Patel,67,29,9,1,RR,Sawai Mansingh Stadium,02 April 2019
376,Jos Buttler,89,29,8,7,MI,Wankhede Stadium,13 April 2019
377,Jos Buttler,69,29,10,2,PBKS,Sawai Mansingh Stadium,25 March 2019
378,MS Dhoni,54,29,5,2,PBKS,HPCA Stadium,18 April 2010
379,Kedar Jadhav,50,29,5,2,RCB,M. Chinnaswamy Stadium,25 March 2010
380,David Warner,107,29,9,5,KKR,Arun Jaitley Stadium,29 March 2010
381,MS Dhoni,61,29,5,3,SRH,Maharashtra Cricket Association's International Stadium,22 April 2017
382,Kieron Pollard,63,29,5,4,DC,Arun Jaitley Stadium,06 May 2017
383,Chris Lynn,84,29,8,3,PBKS,IS Bindra Stadium,09 May 2017
384,Suresh Raina,54,29,4,2,MI,Brabourne Stadium,28 May 2014
385,Nitish Rana,62,29,0,7,PBKS,Holkar Cricket Stadium,20 April 2017
386,Glenn Maxwell,57,29,3,4,PBKS,Sharjah Cricket Stadium,03 October 2021
387,MS Dhoni,70,29,1,7,RCB,M. Chinnaswamy Stadium,25 April 2018
388,Shane Watson,58,29,3,3,DEC,Vidarbha Cricket Association Stadium,05 April 2010
389,Rahul Tripathi,74,29,8,3,MI,Zayed Cricket Stadium,23 September 2021
390,Murali Vijay,78,29,4,6,RCB,Chidambaram,31 March 2010
391,Robin Uthappa,67,29,10,1,CSK,Eden Gardens,20 May 2014
392,Naman Ojha,79,29,4,7,PBKS,Rajiv Gandhi Intl. Cricket Stadium,14 May 2014
393,Jos Buttler,103,29,9,5,KKR,Brabourne - CCI,18 April 2022
394,Riyan Parag,56,29,3,4,RCB,Maharashtra Cricket Association Stadium,26 April 2022
395,David Warner,66,29,4,5,RCB,Wankhede Stadium,16 April 2022
396,Kumar Sangakkara,54,29,5,2,CSK,IS Bindra Stadium,19 April 2008
397,Yusuf Pathan,55,29,6,2,KKR,Sawai Mansingh Stadium,01 May 2008
398,Yuvraj Singh,57,29,6,3,RR,Sawai Mansingh Stadium,21 April 2008
399,David Warner,77,29,7,4,PBKS,Arun Jaitley Stadium,23 April 2011
400,Shaun Marsh,71,29,6,3,RR,IS Bindra Stadium,21 April 2011
401,Bharat Chipli,61,29,5,3,RCB,Rajiv Gandhi Intl. Cricket Stadium,14 April 2011
402,Ambati Rayudu,53,29,3,4,KTK,Wankhede Stadium,15 April 2011
403,Aiden Blizzard,51,29,7,2,KKR,Wankhede Stadium,25 May 2011
404,Nicholas Pooran,64,29,3,6,CSK,Maharashtra Cricket Association Stadium,01 May 2022
405,Rajat Patidar,52,29,5,2,GT,Brabourne - CCI,30 April 2022
406,Shikhar Dhawan,101,29,14,1,CSK,Sharjah Cricket Stadium,17 October 2020
407,Glenn Maxwell,68,29,6,4,KKR,Eden Gardens,04 May 2016
408,Faf du Plessis,72,29,1,7,RR,Sharjah Cricket Stadium,22 September 2020
409,Suryakumar Yadav,79,29,10,3,RCB,Zayed Cricket Stadium,28 October 2020
410,Brad Hodge,54,29,2,5,SRH,Arun Jaitley Stadium,22 May 2013
411,David Miller,80,29,5,5,PWI,IS Bindra Stadium,21 April 2013
412,Shane Watson,101,29,6,6,CSK,Chidambaram,22 April 2013
413,Murali Vijay,95,29,4,6,RCB,Chidambaram,28 May 2011
414,Dinesh Karthik,86,29,14,2,DC,Wankhede Stadium,09 April 2013
415,Suresh Raina,82,29,5,5,MI,Arun Jaitley Stadium,21 May 2013
416,David Warner,74,29,9,0,GL,Saurashtra Cricket Association Stadium,21 April 2016
417,Steve Smith,101,29,8,5,GL,Maharashtra Cricket Association's International Stadium,29 April 2016
418,AB de Villiers,51,29,4,2,SRH,Dubai International Stadium,21 September 2020
419,Ishan Kishan,68,29,6,5,CSK,Sharjah Cricket Stadium,23 October 2020
420,KL Rahul,52,29,6,2,KKR,M. Chinnaswamy Stadium,02 May 2016
421,Wriddhiman Saha,52,29,7,0,DC,IS Bindra Stadium,07 May 2016
422,Gurkeerat Mann Singh,51,29,3,3,RPS,ACA-VDCA Stadium,21 May 2016
423,AB de Villiers,59,29,5,3,KKR,Eden Gardens,16 May 2016
424,Chris Gayle,102,29,10,7,KKR,Eden Gardens,22 April 2011
425,Nicholas Pooran,62,29,2,6,DC,Brabourne - CCI,05 May 2022
426,Shubman Gill,96,29,11,1,PBKS,Brabourne - CCI,08 April 2022
427,Saurabh Tiwary,53,30,4,2,RR,Brabourne Stadium,13 March 2010
428,Brendon McCullum,72,30,2,7,RCB,Saurashtra Cricket Association Stadium,18 April 2017
429,Hashim Amla,65,30,9,2,GL,Saurashtra Cricket Association Stadium,23 April 2017
430,Rohit Sharma,50,30,5,1,CSK,Wankhede Stadium,17 April 2015
431,Ben Stokes,50,30,2,3,PBKS,Holkar Cricket Stadium,08 April 2017
432,Rishabh Pant,51,30,9,0,RR,Wankhede Stadium,15 April 2021
433,David Warner,55,30,6,2,MI,Rajiv Gandhi Intl. Cricket Stadium,12 May 2014
434,Glenn Maxwell,50,30,6,1,RR,Dubai International Stadium,29 September 2021
435,David Warner,52,30,5,1,RCB,Rajiv Gandhi Intl. Cricket Stadium,15 May 2015
436,Mayank Agarwal,52,30,6,2,MI,Maharashtra Cricket Association Stadium,13 April 2022
437,Nitish Rana,57,30,3,4,DC,Wankhede Stadium,28 April 2022
438,Virender Sehwag,73,30,8,4,MI,Arun Jaitley Stadium,27 April 2012
439,David Hussey,68,30,4,4,MI,IS Bindra Stadium,25 April 2012
440,Quinton de Kock,69,30,9,3,RCB,M. Chinnaswamy Stadium,17 May 2015
441,Gautam Gambhir,56,30,4,2,PWI,Eden Gardens,05 May 2012
442,Rovman Powell,67,30,3,6,SRH,Brabourne - CCI,05 May 2022
443,Shivam Dube,95,30,5,8,RCB,DY Patil Stadium,12 April 2022
444,Manish Pandey,62,30,7,2,RCB,M. Chinnaswamy Stadium,17 May 2018
445,Glenn Maxwell,55,30,7,2,DC,Wankhede Stadium,16 April 2022
446,Prithvi Shaw,61,30,9,2,LSG,DY Patil Stadium,07 April 2022
447,KL Rahul,91,30,7,5,RR,Wankhede Stadium,12 April 2021
448,Brendon McCullum,67,30,4,5,PBKS,Zayed Cricket Stadium,18 April 2014
449,Nitish Rana,59,30,5,4,DC,Eden Gardens,16 April 2018
450,AB de Villiers,58,30,1,5,RR,M. Chinnaswamy Stadium,11 May 2014
451,Manish Pandey,69,30,7,2,MI,Zayed Cricket Stadium,08 October 2021
452,Rohit Sharma,62,30,3,5,PWI,Wankhede Stadium,13 April 2013
453,Aditya Tare,59,30,8,1,RR,Wankhede Stadium,15 May 2013
454,Tillakaratne Dilshan,52,30,8,1,KTK,M. Chinnaswamy Stadium,08 May 2011
455,MS Dhoni,58,30,2,4,DC,Chidambaram,14 May 2013
456,Naman Ojha,94,30,8,6,CSK,Chidambaram,03 April 2010
457,Murali Vijay,127,30,8,11,RR,Chidambaram,03 April 2010
458,Dinesh Karthik,69,30,6,4,RR,Arun Jaitley Stadium,31 March 2010
459,Chris Gayle,88,30,6,8,PBKS,Eden Gardens,04 April 2010
460,Prithvi Shaw,99,30,12,3,KKR,Arun Jaitley Stadium,30 March 2019
461,Andre Russell,80,30,6,8,MI,Eden Gardens,28 April 2019
462,Rahul Tewatia,53,30,0,7,PBKS,Sharjah Cricket Stadium,27 September 2020
463,Ishan Kishan,55,30,4,3,DC,Dubai International Stadium,05 November 2020
464,Shikhar Dhawan,57,30,6,2,RR,Dubai International Stadium,14 October 2020
465,Steve Smith,57,30,6,1,RCB,Dubai International Stadium,17 October 2020
466,Devdutt Padikkal,74,30,12,1,MI,Zayed Cricket Stadium,28 October 2020
467,Eoin Morgan,68,30,5,6,RR,Dubai International Stadium,01 November 2020
468,Ambati Rayudu,55,30,6,2,RR,Brabourne Stadium,13 March 2010
469,Adam Gilchrist,54,30,3,3,KKR,DY Patil Stadium,12 March 2010
470,Adam Gilchrist,61,30,5,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,16 April 2011
471,Yuvraj Singh,66,30,4,5,DC,DY Patil Stadium,17 April 2011
472,Mahela Jayawardena,76,30,8,2,PBKS,Holkar Cricket Stadium,13 May 2011
473,AB de Villiers,64,30,5,2,PBKS,IS Bindra Stadium,09 May 2016
474,Hashim Amla,96,30,14,2,SRH,IS Bindra Stadium,15 May 2016
475,Suryakumar Yadav,53,30,6,1,DC,Zayed Cricket Stadium,11 October 2020
476,Yusuf Pathan,52,30,3,2,SRH,Eden Gardens,22 May 2016
477,Suresh Raina,58,30,8,2,MI,Green Park,21 May 2016
478,MS Dhoni,64,30,4,5,PBKS,ACA-VDCA Stadium,21 May 2016
479,Mahela Jayawardena,56,30,9,0,MI,Wankhede Stadium,15 April 2011
480,JP Duminy,55,30,2,4,DC,Rajiv Gandhi Intl. Cricket Stadium,05 May 2011
481,Ross Taylor,53,30,3,3,CSK,M. Chinnaswamy Stadium,28 April 2008
482,Shikhar Dhawan,92,30,9,4,DC,Arun Jaitley Stadium,10 May 2018
483,Chris Lynn,74,30,6,4,PBKS,Eden Gardens,21 April 2018
484,James Hopes,51,30,7,1,RR,IS Bindra Stadium,28 May 2008
485,Shane Watson,89,30,9,6,MI,Wankhede Stadium,20 May 2011
486,Michael Hussey,116,31,8,9,PBKS,IS Bindra Stadium,19 April 2008
487,Sanath Jayasuriya,70,31,7,5,DC,Arun Jaitley Stadium,24 May 2008
488,Rohit Sharma,66,31,6,4,DC,Rajiv Gandhi Intl. Cricket Stadium,22 April 2008
489,Vidyut Sivaramakrishnan,54,31,7,1,DC,Chidambaram,02 May 2008
490,Kieron Pollard,60,31,7,3,CSK,Eden Gardens,26 May 2013
491,Aaron Finch,52,31,3,4,DC,Maharashtra Cricket Association's International Stadium,19 May 2013
492,Gautam Gambhir,60,31,9,0,PBKS,IS Bindra Stadium,16 April 2013
493,Dinesh Karthik,60,31,3,4,RCB,M. Chinnaswamy Stadium,04 April 2013
494,Michael Hussey,88,31,13,1,RR,Chidambaram,22 April 2013
495,Rohit Sharma,73,31,5,5,DC,Arun Jaitley Stadium,21 April 2013
496,Manan Vohra,51,31,7,0,RPS,IS Bindra Stadium,17 April 2016
497,Aaron Finch,50,31,7,2,SRH,Arun Jaitley Stadium,27 May 2016
498,Ambati Rayudu,65,31,4,4,PBKS,IS Bindra Stadium,25 April 2016
499,Virat Kohli,84,31,9,2,KKR,M. Chinnaswamy Stadium,05 April 2019
500,Prithvi Shaw,56,31,6,2,SRH,ACA-VDCA Stadium,08 May 2019
501,AB de Villiers,70,31,4,6,MI,M. Chinnaswamy Stadium,28 March 2019
502,Michael Hussey,95,31,11,2,KKR,Chidambaram,28 April 2013
503,Virender Sehwag,95,31,13,2,MI,Arun Jaitley Stadium,21 April 2013
504,Virat Kohli,93,31,11,4,SRH,M. Chinnaswamy Stadium,09 April 2013
505,Rohit Sharma,87,31,8,5,CSK,Wankhede Stadium,22 April 2011
506,Virat Kohli,56,31,8,2,DC,Arun Jaitley Stadium,26 April 2011
507,Suresh Raina,59,31,6,2,DEC,Chidambaram,01 May 2011
508,David Warner,85,31,9,3,KKR,Eden Gardens,24 March 2019
509,Jesse Ryder,51,31,4,2,RCB,M. Chinnaswamy Stadium,29 April 2011
510,Chris Gayle,63,31,3,7,MI,Wankhede Stadium,10 April 2019
511,Yusuf Pathan,63,31,7,1,GL,Eden Gardens,08 May 2016
512,Dwayne Smith,73,31,5,6,RCB,M. Chinnaswamy Stadium,24 May 2016
513,Virat Kohli,108,31,8,7,RPS,M. Chinnaswamy Stadium,07 May 2016
514,Shane Watson,83,31,11,3,PBKS,Dubai International Stadium,04 October 2020
515,Moeen Ali,50,31,1,5,MI,Wankhede Stadium,15 April 2019
516,Chris Lynn,50,31,6,3,RR,Sawai Mansingh Stadium,07 April 2019
517,Shane Watson,50,31,3,4,DC,ACA-VDCA Stadium,10 May 2019
518,David Warner,54,31,7,1,RCB,Chidambaram,14 April 2021
519,Venkatesh Iyer,50,31,5,3,CSK,Dubai International Stadium,15 October 2021
520,Evin Lewis,58,31,5,3,RCB,Dubai International Stadium,29 September 2021
521,Shivam Dube,64,31,4,4,CSK,Zayed Cricket Stadium,02 October 2021
522,Virat Kohli,50,31,7,0,DEC,Newlands,22 April 2009
523,Ambati Rayudu,100,31,7,7,SRH,Maharashtra Cricket Association's International Stadium,13 May 2018
524,David Miller,89,31,2,9,SRH,Rajiv Gandhi Intl. Cricket Stadium,11 May 2015
525,Adam Gilchrist,71,31,6,5,RCB,Newlands,22 April 2009
526,Rohit Sharma,59,31,3,4,RCB,Wankhede Stadium,06 May 2014
527,Manish Pandey,94,31,7,6,PBKS,M. Chinnaswamy Stadium,01 June 2014
528,Shane Watson,104,31,9,5,KKR,Brabourne Stadium,16 May 2015
529,Wriddhiman Saha,93,31,11,3,MI,Wankhede Stadium,11 May 2017
530,Shreyas Iyer,50,31,5,2,SRH,Rajiv Gandhi Intl. Cricket Stadium,19 April 2017
531,Dwayne Smith,54,31,7,2,SRH,Green Park,13 May 2017
532,David Warner,76,31,6,4,GL,Rajiv Gandhi Intl. Cricket Stadium,09 April 2017
533,Shikhar Dhawan,77,31,9,1,PBKS,IS Bindra Stadium,28 April 2017
534,Shikhar Dhawan,56,31,5,3,CSK,Brabourne Stadium,25 March 2010
535,Virat Kohli,58,31,4,4,DEC,M. Chinnaswamy Stadium,08 April 2010
536,Saurabh Tiwary,61,31,4,3,DC,Arun Jaitley Stadium,17 March 2010
537,Rohit Sharma,68,31,6,3,PBKS,HPCA Stadium,16 April 2010
538,Aaron Finch,52,31,7,1,MI,Dubai International Stadium,28 September 2020
539,Shikhar Dhawan,92,31,13,2,PBKS,Wankhede Stadium,18 April 2021
540,Rahul Tripathi,81,31,8,3,CSK,Zayed Cricket Stadium,07 October 2020
541,Saurabh Tiwary,52,31,3,4,RCB,DY Patil Stadium,21 April 2010
542,Steve Smith,50,31,8,0,DC,Sawai Mansingh Stadium,22 April 2019
543,Deepak Hooda,51,31,3,3,SRH,DY Patil Stadium,04 April 2022
544,Aiden Markram,68,31,6,4,KKR,Brabourne - CCI,15 April 2022
545,Karun Nair,50,31,5,2,DC,IS Bindra Stadium,08 April 2018
546,AB de Villiers,53,31,7,0,RR,Sawai Mansingh Stadium,19 May 2018
547,Rohit Sharma,56,31,6,2,CSK,Maharashtra Cricket Association's International Stadium,28 April 2018
548,Shane Watson,57,31,5,3,SRH,Maharashtra Cricket Association's International Stadium,13 May 2018
549,Suryakumar Yadav,59,31,7,2,KKR,Wankhede Stadium,06 May 2018
550,Devdutt Padikkal,54,31,7,2,DC,Wankhede Stadium,22 April 2022
551,Kieron Pollard,52,31,5,3,RCB,M. Chinnaswamy Stadium,14 May 2012
552,Gautam Gambhir,62,31,6,3,CSK,Eden Gardens,14 May 2012
553,Mahela Jayawardena,55,31,4,2,CSK,Chidambaram,25 May 2012
554,Mandeep Singh,75,31,8,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,08 May 2012
555,MS Dhoni,70,32,3,6,RCB,M. Chinnaswamy Stadium,22 May 2011
556,Nitish Rana,58,32,4,4,DC,Sharjah Cricket Stadium,03 October 2020
557,Quinton de Kock,67,32,4,4,SRH,Sharjah Cricket Stadium,04 October 2020
558,Michael Hussey,79,32,8,1,RR,Chidambaram,04 May 2011
559,Aaron Finch,67,32,10,2,CSK,Chidambaram,15 April 2013
560,Michael Hussey,67,32,5,4,SRH,Rajiv Gandhi Intl. Cricket Stadium,08 May 2013
561,MS Dhoni,67,32,7,4,SRH,Chidambaram,25 April 2013
562,Cameron White,52,32,3,3,RCB,M. Chinnaswamy Stadium,09 April 2013
563,Shubman Gill,84,32,6,4,DC,Maharashtra Cricket Association Stadium,02 April 2022
564,Nitish Rana,54,32,6,2,SRH,Brabourne - CCI,15 April 2022
565,Suryakumar Yadav,68,32,5,6,RCB,Maharashtra Cricket Association Stadium,09 April 2022
566,Deepak Hooda,52,32,6,1,DC,Wankhede Stadium,01 May 2022
567,Sachin Tendulkar,74,32,11,1,CSK,Wankhede Stadium,06 May 2012
568,Chris Gayle,71,32,6,4,PBKS,M. Chinnaswamy Stadium,02 May 2012
569,Faf du Plessis,71,32,5,4,RCB,Chidambaram,12 April 2012
570,David Warner,92,32,9,5,RCB,Rajiv Gandhi Intl. Cricket Stadium,30 April 2016
571,Sanju Samson,63,32,7,2,RCB,Sawai Mansingh Stadium,29 April 2013
572,David Miller,56,32,1,5,MI,Wankhede Stadium,29 April 2013
573,Yusuf Pathan,72,32,8,2,PWI,JSCA Stadium,15 May 2013
574,Virat Kohli,65,32,7,1,DC,M. Chinnaswamy Stadium,16 April 2013
575,Virat Kohli,54,32,5,2,SRH,M. Chinnaswamy Stadium,29 May 2016
576,Ajinkya Rahane,66,32,7,3,MI,Wankhede Stadium,09 April 2016
577,Aaron Finch,74,32,12,0,PBKS,IS Bindra Stadium,11 April 2016
578,David Warner,100,32,5,5,RCB,Rajiv Gandhi Intl. Cricket Stadium,31 March 2019
579,Naman Ojha,80,32,6,5,CSK,Narendra Modi Stadium,28 March 2010
580,Suresh Raina,83,32,7,3,MI,Brabourne Stadium,25 March 2010
581,Faf du Plessis,56,32,6,1,SRH,Arun Jaitley Stadium,28 April 2021
582,Shubman Gill,76,32,6,4,MI,Eden Gardens,28 April 2019
583,Shikhar Dhawan,97,32,11,2,KKR,Eden Gardens,12 April 2019
584,Shimron Hetmyer,75,32,4,6,SRH,M. Chinnaswamy Stadium,04 May 2019
585,Jonny Bairstow,55,32,5,3,KKR,Chidambaram,11 April 2021
586,Suresh Raina,54,32,3,4,DC,Wankhede Stadium,10 April 2021
587,Glenn Maxwell,51,32,8,0,DC,Dubai International Stadium,08 October 2021
588,Ajinkya Rahane,105,32,11,3,DC,Sawai Mansingh Stadium,22 April 2019
589,Parthiv Patel,70,32,9,1,GL,Saurashtra Cricket Association Stadium,29 April 2017
590,Gautam Gambhir,54,32,6,1,RR,Narendra Modi Stadium,05 May 2014
591,Sanju Samson,52,32,3,4,PBKS,Sharjah Cricket Stadium,20 April 2014
592,Aaron Finch,69,32,6,4,DC,Green Park,10 May 2017
593,Suresh Raina,84,32,9,4,KKR,Eden Gardens,21 April 2017
594,Shakib Al Hasan,60,32,5,3,RCB,Eden Gardens,22 May 2014
595,Michael Hussey,56,32,3,2,RR,Narendra Modi Stadium,19 May 2014
596,Brendon McCullum,56,32,5,2,KKR,JSCA Stadium,02 May 2014
597,David Miller,54,32,3,3,CSK,Zayed Cricket Stadium,18 April 2014
598,Nitish Rana,53,32,4,2,GL,Wankhede Stadium,16 April 2017
599,Hashim Amla,58,32,4,3,RCB,Holkar Cricket Stadium,10 April 2017
600,Rahul Tripathi,59,32,6,3,SRH,Maharashtra Cricket Association's International Stadium,22 April 2017
601,Sanju Samson,60,32,4,3,KKR,Eden Gardens,28 April 2017
602,Jos Buttler,100,32,11,5,MI,DY Patil Stadium,02 April 2022
603,Rahul Tripathi,58,32,6,2,RCB,Wankhede Stadium,08 May 2022
604,Brendon McCullum,158,32,10,13,RCB,M. Chinnaswamy Stadium,18 April 2008
605,Simon Katich,75,32,11,1,DC,IS Bindra Stadium,27 April 2008
606,Gautam Gambhir,51,32,7,0,RCB,Eden Gardens,16 May 2016
607,Suresh Raina,100,32,7,6,PBKS,Chidambaram,02 May 2013
608,Shane Watson,74,32,5,5,DC,Sawai Mansingh Stadium,11 May 2008
609,Shreyas Iyer,85,32,7,4,RR,Brabourne - CCI,18 April 2022
610,Chris Gayle,85,32,4,9,KKR,M. Chinnaswamy Stadium,11 April 2013
611,Shreyas Iyer,54,32,5,2,DC,Brabourne - CCI,10 April 2022
612,Abhishek Sharma,75,32,5,3,CSK,DY Patil Stadium,09 April 2022
613,Rahul Tripathi,76,32,9,3,MI,Wankhede Stadium,17 May 2022
614,Herschelle Gibbs,60,32,3,4,RCB,Supersport Park,21 May 2009
615,Shreyas Iyer,60,32,3,5,SRH,ACA-VDCA Stadium,18 April 2015
616,Parthiv Patel,59,32,5,3,PBKS,IS Bindra Stadium,03 May 2015
617,Mandeep Singh,54,32,7,2,RR,Maharashtra Cricket Association's International Stadium,20 May 2015
618,Shaun Marsh,65,32,5,3,RR,Narendra Modi Stadium,21 April 2015
619,Robin Uthappa,54,32,6,3,MI,Wankhede Stadium,06 May 2018
620,Steve Smith,68,32,9,2,SRH,Brabourne Stadium,07 May 2015
621,Brendon McCullum,66,32,8,3,PBKS,Chidambaram,25 April 2015
622,Shubman Gill,57,32,6,2,CSK,Eden Gardens,03 May 2018
623,Kane Williamson,63,32,7,2,RR,Sawai Mansingh Stadium,29 April 2018
624,Suresh Raina,52,32,6,1,RR,Sawai Mansingh Stadium,11 May 2018
625,Ambati Rayudu,63,32,6,3,KKR,Eden Gardens,13 May 2017
626,AB de Villiers,69,32,12,1,SRH,M. Chinnaswamy Stadium,17 May 2018
627,Rohit Sharma,94,32,10,5,RCB,Wankhede Stadium,17 April 2018
628,Suresh Raina,77,32,5,4,DC,Arun Jaitley Stadium,04 May 2017
629,Evin Lewis,65,32,6,5,RCB,Wankhede Stadium,17 April 2018
630,Owais Shah,76,32,5,5,MI,Wankhede Stadium,11 April 2012
631,Shikhar Dhawan,50,32,4,3,RCB,Arun Jaitley Stadium,30 April 2008
632,Venugopal Rao,57,32,4,3,MI,Rajiv Gandhi Intl. Cricket Stadium,18 May 2008
633,Suresh Raina,55,32,4,4,PBKS,Wankhede Stadium,31 May 2008
634,Subramaniam Badrinath,53,32,7,2,MI,Wankhede Stadium,14 May 2008
635,Wasim Jaffer,50,32,5,2,CSK,M. Chinnaswamy Stadium,28 April 2008
636,Matthew Hayden,81,33,12,2,MI,Chidambaram,23 April 2008
637,Shaun Marsh,58,33,3,4,CSK,Chidambaram,10 May 2008
638,Suresh Raina,53,33,3,3,MI,Chidambaram,23 April 2008
639,Shane Watson,117,33,11,8,SRH,Wankhede Stadium,27 May 2018
640,Shikhar Dhawan,78,33,13,1,RR,Rajiv Gandhi Intl. Cricket Stadium,09 April 2018
641,Shubman Gill,52,33,6,2,MI,Brabourne - CCI,06 May 2022
642,Ruturaj Gaikwad,99,33,6,6,SRH,Maharashtra Cricket Association Stadium,01 May 2022
643,Robin Uthappa,88,33,4,9,RCB,DY Patil Stadium,12 April 2022
644,K L Rahul,103,33,9,5,MI,Brabourne - CCI,16 April 2022
645,Virat Kohli,73,33,8,2,GT,Wankhede Stadium,19 May 2022
646,Hardik Pandya,87,33,8,4,RR,DY Patil Stadium,14 April 2022
647,Karun Nair,61,33,6,2,DC,Brabourne Stadium,03 May 2015
648,Nitish Rana,85,33,9,5,RCB,Eden Gardens,19 April 2019
649,Chris Gayle,79,33,8,4,RR,Sawai Mansingh Stadium,25 March 2019
650,Faf du Plessis,54,33,2,4,PBKS,Chidambaram,06 April 2019
651,Yuvraj Singh,53,33,5,3,DC,Wankhede Stadium,24 March 2019
652,Yuvraj Singh,50,33,3,4,RCB,Kingsmead,01 May 2009
653,Rohit Sharma,58,33,6,3,RPS,Wankhede Stadium,24 April 2017
654,Ajinkya Rahane,52,33,7,0,CSK,Sawai Mansingh Stadium,09 May 2011
655,Rishabh Pant,57,33,3,4,RCB,M. Chinnaswamy Stadium,08 April 2017
656,Subramaniam Badrinath,63,33,6,2,PWI,DY Patil Stadium,27 April 2011
657,Shimron Hetmyer,59,33,1,6,LSG,Wankhede Stadium,10 April 2022
658,Abhishek Sharma,65,33,6,3,GT,Wankhede Stadium,27 April 2022
659,Deepak Hooda,59,33,5,2,RR,Brabourne - CCI,15 May 2022
660,Chris Gayle,70,33,7,4,RR,Sawai Mansingh Stadium,11 May 2011
661,Gautam Gambhir,76,33,12,0,GL,Saurashtra Cricket Association Stadium,07 April 2017
662,Shreyas Iyer,96,33,15,2,GL,Green Park,10 May 2017
663,Rohit Sharma,56,33,5,3,DEC,Rajiv Gandhi Intl. Cricket Stadium,24 April 2011
664,David Hussey,50,33,5,2,SRH,JSCA Stadium,22 May 2014
