POS,Player,Mat,Inns,Ov,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
319,Dominic Thornely,6,4,7.0,40,3,2/7,13.33,5.71,14.0,0,0
320,John Hastings,3,3,9.4,66,3,2/6,22.0,6.83,19.33,0,0
321,Krishmar Santokie,2,2,8.0,90,3,2/50,30.0,11.25,16.0,0,0
322,Kulwant Khejroliya,5,5,15.5,154,3,2/33,51.33,9.73,31.67,0,0
323,Doug Bracewell,1,1,4.0,32,3,3/32,10.67,8.0,8.0,0,0
324,Ashok Menaria,28,12,18.2,144,3,2/20,48.0,7.85,36.67,0,0
325,Ryan Ninan,2,2,6.0,65,3,2/31,21.67,10.83,12.0,0,0
326,Jhye Richardson,3,3,11.0,117,3,2/41,39.0,10.64,22.0,0,0
327,Rajagopal Sathish,34,14,23.1,232,3,1/11,77.33,10.01,46.33,0,0
328,Shane Harwood,3,3,10.0,73,3,2/25,24.33,7.3,20.0,0,0
329,David Willey,7,7,21.0,167,3,29/1,55.67,7.95,42.0,0,0
330,Robin Peterson,5,4,8.0,70,3,3/37,23.33,8.75,16.0,0,0
331,Gajendra Singh,4,4,14.0,141,3,1/33,47.0,10.07,28.0,0,0
332,Sandeep Warrier,5,5,17.0,134,2,2/31,67.0,7.88,51.0,0,0
333,Darshan Nalkande,2,2,5.1,59,2,37/2,29.5,11.42,15.5,0,0
334,Anukul Roy,3,3,9.0,66,2,28/1,33.0,7.33,27.0,0,0
335,Scott Kuggeleijn,2,2,8.0,71,2,2/37,35.5,8.88,24.0,0,0
336,Nayan Doshi,4,4,9.2,79,2,1/15,39.5,8.46,28.0,0,0
337,Andrew Flintoff,3,3,11.0,105,2,1/11,52.5,9.55,33.0,0,0
338,Chetanya Nanda,3,3,8.0,57,2,1/4,28.5,7.12,24.0,0,0
339,Abdul Samad,23,4,8.0,105,2,1/9,52.5,13.12,24.0,0,0
340,Hrithik Shokeen,5,5,15.0,127,2,47/2,63.5,8.47,45.0,0,0
341,Fazalhaq Farooqi,3,3,12.0,110,2,32/2,55.0,9.17,36.0,0,0
342,Ryan ten Doeschate,29,10,13.0,94,2,1/7,47.0,7.23,39.0,0,0
343,Amit Uniyal,2,2,6.0,66,2,2/41,33.0,11.0,18.0,0,0
344,Michael Clarke,6,5,11.0,67,2,1/12,33.5,6.09,33.0,0,0
345,Javon Searles,4,3,7.0,89,2,1/24,44.5,12.71,21.0,0,0
346,Travis Head,7,5,8.0,81,2,2/30,40.5,10.12,24.0,0,0
347,Pawan Suyal,5,5,16.0,151,2,1/21,75.5,9.44,48.0,0,0
348,Ankit Soni,7,6,18.1,144,2,1/16,72.0,7.93,54.5,0,0
349,Doddapaneni Kalyankrishna,3,3,8.0,87,2,1/30,43.5,10.88,24.0,0,0
350,Luke Wright,7,6,11.5,124,2,1/12,62.0,10.48,35.5,0,0
351,Shoaib Malik,7,5,8.3,85,2,1/6,42.5,10.0,25.5,0,0
352,Musavir Khote,4,2,5.0,51,2,2/29,25.5,10.2,15.0,0,0
353,Siddharth Chitnis,3,2,6.0,60,2,2/40,30.0,10.0,18.0,0,0
354,Kyle Abbott,5,5,16.0,177,2,1/38,88.5,11.06,48.0,0,0
355,Scott Boland,2,2,7.0,54,2,2/31,27.0,7.71,21.0,0,0
356,Sachin Baby,11,2,1.4,8,2,2/4,4.0,4.8,5.0,0,0
357,Nuwan Zoysa,3,3,11.0,99,2,1/30,49.5,9.0,33.0,0,0
358,Fabian Allen,5,4,15.0,136,2,46/1,68.0,9.07,45.0,0,0
359,Matheesha Pathirana,2,2,6.5,52,2,24/2,26.0,7.61,20.5,0,0
360,Ayush Badoni,13,2,2.0,11,2,5/1,5.5,5.5,6.0,0,0
361,Prashant Solanki,2,2,6.0,38,2,20/2,19.0,6.33,18.0,0,0
362,Lukman Meriwala,1,1,3.0,32,1,1/32,32.0,10.67,18.0,0,0
363,Ishan Porel,1,1,4.0,39,1,1/39,39.0,9.75,24.0,0,0
364,Glenn Phillips,3,2,2.0,20,1,1/17,20.0,10.0,12.0,0,0
365,Brett Geeves,2,2,8.0,91,1,1/50,91.0,11.38,48.0,0,0
366,Ronit More,2,2,5.5,59,1,1/31,59.0,10.11,35.0,0,0
367,Andre Nel,1,1,3.0,31,1,1/31,31.0,10.33,18.0,0,0
368,Aaron Finch,21,5,7.1,67,1,1/11,67.0,9.35,43.0,0,0
369,Harmeet Singh,1,1,4.0,34,1,1/34,34.0,8.5,24.0,0,0
370,Swapnil Singh,5,5,10.0,90,1,1/14,90.0,9.0,60.0,0,0
371,Hanuma Vihari,19,6,7.0,47,1,1/5,47.0,6.71,42.0,0,0
372,Nathu Singh,2,2,4.0,15,1,1/7,15.0,3.75,24.0,0,0
373,Vidyut Sivaramakrishnan,9,1,2.0,22,1,1/22,22.0,11.0,12.0,0,0
374,Gurinder Sandhu,3,2,8.0,82,1,1/33,82.0,10.25,48.0,0,0
375,Cameron White,41,6,7.0,86,1,1/14,86.0,12.29,42.0,0,0
376,Jeevan Mendis,3,2,5.0,36,1,1/16,36.0,7.2,30.0,0,0
377,Sean Abbott,3,3,9.0,104,1,47/1,104.0,11.56,54.0,0,0
378,Lendl Simmons,8,1,3.0,34,1,1/34,34.0,11.33,18.0,0,0
379,Aiden Markram,20,6,10.0,87,1,8/1,87.0,8.7,60.0,0,0
380,Ajinkya Rahane,8,1,1.0,5,1,1/5,5.0,5.0,6.0,0,0
381,Abhishek Jhunjhunwala,21,10,14.1,129,1,1/13,129.0,9.11,85.0,0,0
382,Yogesh Nagar,24,6,6.0,77,1,1/3,77.0,12.83,36.0,0,0
383,Graham Napier,1,1,4.0,27,1,1/27,27.0,6.75,24.0,0,0
384,Manoj Tiwary,41,5,6.0,72,1,1/11,72.0,12.0,36.0,0,0
385,Mohammad Hafeez,8,2,5.0,24,1,1/8,24.0,4.8,30.0,0,0
386,Mandeep Singh,29,3,5.0,49,1,1/23,49.0,9.8,30.0,0,0
387,D'Arcy Short,7,2,3.0,19,1,1/10,19.0,6.33,18.0,0,0
388,Mahipal Lomror,6,6,10.0,74,1,1/22,74.0,7.4,60.0,0,0
389,SS Mundhe,1,1,1.0,6,1,1/6,6.0,6.0,6.0,0,0
390,Dwaraka Ravi Teja,19,2,3.0,28,1,1/19,28.0,9.33,18.0,0,0
391,Sunil Joshi,4,4,9.1,82,1,1/27,82.0,8.95,55.0,0,0
392,PM Sarvesh Kumar,2,2,5.0,42,1,1/18,42.0,8.4,30.0,0,0
393,Ashley Noffke,1,1,4.0,40,1,1/40,40.0,10.0,24.0,0,0
394,Dinesh Salunkhe,6,5,7.5,78,1,1/21,78.0,9.96,47.0,0,0
395,Adam Gilchrist,13,1,0.1,0,1,1/0,0.0,0.0,1.0,0,0
396,Clint McKay,2,2,7.0,60,1,1/36,60.0,8.57,42.0,0,0
397,TP Sudhindra,3,3,11.4,136,1,1/46,136.0,11.66,70.0,0,0
398,Akshath Reddy,5,1,3.0,32,1,1/32,32.0,10.67,18.0,0,0
399,Matt Henry,2,2,5.0,71,1,1/31,71.0,14.2,30.0,0,0
400,Shubham Agarwal,1,1,4.0,42,1,1/42,42.0,10.5,24.0,0,0
401,Harshit Rana,2,2,5.0,51,1,24/1,51.0,10.2,30.0,0,0
402,Dewald Brevis,7,1,0.3,8,1,8/1,8.0,16.0,3.0,0,0
403,Sherfane Rutherford,7,6,6.5,59,1,1/6,59.0,8.63,41.0,0,0
404,Prithvi Raj Yarra,2,2,5.0,57,1,1/29,57.0,11.4,30.0,0,0
405,Lee Carseldine,5,1,1.0,6,1,1/6,6.0,6.0,6.0,0,0
406,Tyron Henderson,2,2,6.0,40,1,1/30,40.0,6.67,36.0,0,0
407,LPC Silva,3,1,1.0,21,0,0/21,0.0,21.0,0.0,0,0
408,Suryakumar Yadav,16,1,1.0,8,0,0/8,0.0,8.0,0.0,0,0
409,Colin Munro,4,2,2.0,15,0,0/7,0.0,7.5,0.0,0,0
410,Daniel Harris,4,2,3.0,26,0,0/11,0.0,8.67,0.0,0,0
411,Michael Neser,1,1,4.0,62,0,0/62,0.0,15.5,0.0,0,0
412,Ben Rohrer,8,1,1.0,12,0,0/12,0.0,12.0,0.0,0,0
413,Vikrant Yeligati,2,2,5.0,59,0,0/16,0.0,11.8,0.0,0,0
414,Karan Goel,22,6,11.0,93,0,0/7,0.0,8.45,0.0,0,0
415,Abdur Razzak,1,1,2.0,29,0,0/29,0.0,14.5,0.0,0,0
416,Murali Vijay,36,4,6.0,49,0,0/8,0.0,8.17,0.0,0,0
417,Ranadeb Bose,1,1,2.0,24,0,0/24,0.0,12.0,0.0,0,0
418,Faiz Fazal,10,2,2.0,20,0,0/6,0.0,10.0,0.0,0,0
419,Mashrafe Mortaza,1,1,4.0,58,0,0/58,0.0,14.5,0.0,0,0
420,Ross Taylor,23,2,2.0,24,0,0/11,0.0,12.0,0.0,0,0
421,David Warner,16,1,0.1,2,0,0/2,0.0,12.0,0.0,0,0
422,Sarfaraz Khan,8,1,0.2,6,0,0/6,0.0,18.0,0.0,0,0
423,Kane Williamson,18,2,3.0,31,0,0/7,0.0,10.33,0.0,0,0
424,Rahil Shaikh,1,1,1.0,11,0,0/11,0.0,11.0,0.0,0,0
425,Chamara Kapugedera,5,3,2.5,49,0,0/8,0.0,17.29,0.0,0,0
426,Rohan Gavaskar,2,1,1.0,8,0,0/8,0.0,8.0,0.0,0,0
427,Adam Voges,9,7,9.0,76,0,0/5,0.0,8.44,0.0,0,0
428,Kemar Roach,2,2,8.0,80,0,0/32,0.0,10.0,0.0,0,0
429,Steve Smith,15,1,0.2,5,0,0/5,0.0,15.0,0.0,0,0
430,Sunny Gupta,1,1,3.0,47,0,0/47,0.0,15.67,0.0,0,0
431,Faf du Plessis,13,1,1.0,16,0,0/16,0.0,16.0,0.0,0,0
432,Raju Bhatkal,1,1,2.0,35,0,0/35,0.0,17.5,0.0,0,0
433,Rasikh Salam,1,1,4.0,42,0,0/42,0.0,10.5,0.0,0,0
434,Sudhesan Midhun,1,1,2.0,27,0,0/27,0.0,13.5,0.0,0,0
435,Prayas Ray Barman,1,1,4.0,56,0,0/56,0.0,14.0,0.0,0,0
436,Padmanabhan Prasanth,1,1,1.0,18,0,0/18,0.0,18.0,0.0,0,0
437,Ishan Malhotra,1,1,1.0,23,0,0/23,0.0,23.0,0.0,0,0
438,Bharat Chipli,14,1,1.0,20,0,0/20,0.0,20.0,0.0,0,0
439,Akila Dananjaya,1,1,4.0,47,0,0/47,0.0,11.75,0.0,0,0
440,Junior Dala,1,1,3.0,34,0,0/34,0.0,11.33,0.0,0,0
441,Mark Wood,1,1,4.0,49,0,0/49,0.0,12.25,0.0,0,0
442,Krishnakant Upadhyay,3,3,9.0,81,0,0/19,0.0,9.0,0.0,0,0
443,Tejas Baroka,1,1,3.3,33,0,0/33,0.0,9.43,0.0,0,0
444,Rahul Tripathi,14,1,1.0,12,0,0/12,0.0,12.0,0.0,0,0
445,Abrar Kazi,1,1,2.0,21,0,0/21,0.0,10.5,0.0,0,0
446,Asad Pathan,8,3,6.3,63,0,0/14,0.0,9.69,0.0,0,0
447,Sridharan Sriram,2,2,3.0,49,0,0/24,0.0,16.33,0.0,0,0
448,Chandrasekar Ganapathy,1,1,1.0,13,0,0/13,0.0,13.0,0.0,0,0
449,Sachin Rana,11,3,2.4,18,0,0/2,0.0,6.75,0.0,0,0
450,Mithun Manhas,10,3,7.0,42,0,0/9,0.0,6.0,0.0,0,0
451,Nathan Rimmington,1,1,3.0,19,0,0/19,0.0,6.33,0.0,0,0
452,Nathan McCullum,2,2,5.0,34,0,0/12,0.0,6.8,0.0,0,0
453,Ambati Rayudu,16,1,3.0,22,0,0/22,0.0,7.33,0.0,0,0
454,Y Gnaneswara Rao,2,1,1.0,7,0,0/7,0.0,7.0,0.0,0,0
455,Abhishek Raut,16,6,7.0,57,0,0/6,0.0,8.14,0.0,0,0
456,Sachin Tendulkar,13,4,6.0,58,0,0/7,0.0,9.67,0.0,0,0
457,Adil Rashid,1,1,3.0,35,0,0/35,0.0,11.67,0.0,0,0
458,Akash Singh,1,1,4.0,39,0,0/39,0.0,9.75,0.0,0,0
459,Kuldip Yadav,1,1,2.0,16,0,0/16,0.0,8.0,0.0,0,0
460,Jalaj Saxena,1,1,3.0,27,0,0/27,0.0,9.0,0.0,0,0
461,Ripal Patel,2,1,3.0,22,0,0/22,0.0,7.33,0.0,0,0
462,Chris Green,1,1,2.5,24,0,0/24,0.0,8.47,0.0,0,0
463,Pravin Dubey,3,3,8.0,72,0,0/14,0.0,9.0,0.0,0,0
464,Monu Kumar,1,1,2.0,20,0,0/20,0.0,10.0,0.0,0,0
