POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s
348,Dushmantha Chameera,12,8,4,43,17,10.75,28,153.57,0,0,3,3
349,Hrithik Shokeen,5,3,1,43,25,21.5,48,89.58,0,0,5,0
350,Sunny Singh,6,5,1,43,20,10.75,31,138.71,0,0,6,1
351,Siddharth Trivedi,64,13,7,42,9,7.0,57,73.68,0,0,3,1
352,Adrian Barath,3,3,1,42,33,21.0,42,100.0,0,0,5,1
353,LPC Silva,3,3,1,40,23*,20.0,26,153.85,0,0,5,1
354,Jayant Yadav,10,5,1,40,23,10.0,36,111.11,0,0,2,1
355,Ben Dunk,3,3,0,40,20,13.33,35,114.29,0,0,7,0
356,Jagadeesan Narayan,2,2,1,40,39*,40.0,37,108.11,0,0,3,1
357,Wanindu Hasaranga,18,9,1,39,18,4.88,45,86.67,0,0,4,1
358,Ashish Nehra,55,14,11,39,22*,13.0,53,73.58,0,0,3,1
359,Asad Pathan,8,7,2,39,14,7.8,23,169.57,0,0,5,2
360,Shahbaz Nadeem,52,19,6,39,6,3.0,84,46.43,0,0,2,0
361,Dominic Thornely,6,4,2,39,30,19.5,53,73.58,0,0,2,2
362,Umar Gul,6,4,1,39,24,13.0,19,205.26,0,0,1,5
363,Munaf Patel,32,10,5,37,23*,7.4,33,112.12,0,0,5,0
364,Yuzvendra Chahal,117,20,13,37,8*,5.29,86,43.02,0,0,0,0
365,Sumit Narwal,7,4,1,37,23,12.33,27,137.04,0,0,6,0
366,Anureet Singh,18,8,4,36,15,9.0,47,76.6,0,0,2,1
367,Joginder Sharma,12,5,2,36,16,12.0,29,124.14,0,0,1,2
368,Kane Richardson,14,4,1,36,26,12.0,39,92.31,0,0,2,1
369,Lakshmipathy Balaji,65,15,7,36,15,4.5,49,73.47,0,0,2,1
370,Sohail Tanvir,11,5,2,36,13,12.0,29,124.14,0,0,3,1
371,Bodapati Sumanth,5,4,3,35,16,35.0,37,94.59,0,0,3,0
372,Anil Kumble,42,17,14,35,8,11.67,47,74.47,0,0,3,0
373,Murugan Ashwin,42,13,4,35,9,3.89,50,70.0,0,0,2,1
374,Aditya Dole,3,2,0,34,30,17.0,22,154.55,0,0,3,1
375,Luke Ronchi,5,5,0,34,13,6.8,34,100.0,0,0,6,1
376,Imran Tahir,41,8,4,33,13*,8.25,37,89.19,0,0,5,0
377,Narayan Jagadeesan,5,2,0,33,33,16.5,29,113.79,0,0,4,0
378,Dinesh Salunkhe,6,3,1,33,26*,16.5,24,137.5,0,0,5,0
379,Navdeep Saini,30,7,3,33,12*,8.25,37,89.19,0,0,3,0
380,Daryl Mitchell,2,2,0,33,17,16.5,44,75.0,0,0,1,0
381,Robin Peterson,5,5,2,32,16*,10.67,30,106.67,0,0,3,1
382,Alex Carey,3,3,1,32,14*,16.0,29,110.34,0,0,0,1
383,Abhimanyu Mithun,13,7,3,32,11,8.0,24,133.33,0,0,4,1
384,Shanthakumaran Sreesanth,13,5,5,32,15*,32.0,39,82.05,0,0,6,0
385,Basil Thampi,19,8,7,32,13*,32.0,35,91.43,0,0,1,1
386,Ripal Patel,4,3,1,31,18,15.5,30,103.33,0,0,3,1
387,Sridharan Sriram,2,2,0,31,27,15.5,36,86.11,0,0,3,0
388,Nikhil Naik,4,4,0,31,22,7.75,50,62.0,0,0,2,0
389,James Neesham,2,2,0,31,17,15.5,27,114.81,0,0,3,0
390,Tatenda Taibu,3,3,0,31,15,10.33,26,119.23,0,0,3,0
391,Avesh Khan,30,6,5,31,12,31.0,19,163.16,0,0,2,3
392,Syed Mohammad,11,5,3,29,13*,14.5,26,111.54,0,0,4,0
393,Vijay Zol,3,2,0,29,16,14.5,26,111.54,0,0,3,1
394,Anmolpreet Singh,3,3,0,29,16,9.67,27,107.41,0,0,3,1
395,Shadab Jakati,30,5,4,28,13,28.0,29,96.55,0,0,3,0
396,Mayank Markande,17,8,5,27,7*,9.0,29,93.1,0,0,3,0
397,Dawid Malan,1,1,0,26,26,26.0,26,100.0,0,0,1,1
398,Nathan McCullum,2,2,1,26,15,26.0,22,118.18,0,0,0,1
399,Tim Seifert,3,3,0,26,21,8.67,23,113.04,0,0,4,0
400,JM Kemp,5,2,0,26,22,13.0,24,108.33,0,0,1,1
401,Glenn Phillips,3,3,1,26,14*,13.0,33,78.79,0,0,1,2
402,Shivnarine Chanderpaul,3,3,0,25,16,8.33,31,80.65,0,0,4,0
403,Aniket Choudhary,5,3,2,25,15*,25.0,20,125.0,0,0,1,1
404,Eklavya Dwivedi,4,2,0,24,19,12.0,14,171.43,0,0,2,2
405,Musavir Khote,4,3,1,24,9,12.0,22,109.09,0,0,2,1
406,KC Cariappa,10,5,2,24,12*,8.0,21,114.29,0,0,0,2
407,Ashok Dinda,47,14,7,24,7,3.43,37,64.86,0,0,2,0
408,Varun Chakaravarthy,41,10,7,24,10*,8.0,37,64.86,0,0,2,0
409,Ankit Rajpoot,19,6,1,24,8,4.8,35,68.57,0,0,2,1
410,Jagadeesh Arunkumar,3,3,0,23,22,7.67,23,100.0,0,0,5,0
411,Jeevan Mendis,3,3,0,23,12,7.67,27,85.19,0,0,0,0
412,Arshdeep Singh,34,9,5,23,10*,5.75,35,65.71,0,0,3,0
413,Adam Milne,8,6,2,23,15,5.75,29,79.31,0,0,0,1
414,Mohsin Khan,9,3,2,23,13*,23.0,16,143.75,0,0,2,1
415,Sean Abbott,3,3,0,22,14,7.33,18,122.22,0,0,1,2
416,Rassie van der Dussen,3,3,1,22,12*,11.0,24,91.67,0,0,2,0
417,Shaun Tait,12,4,2,22,11,11.0,23,95.65,0,0,1,1
418,Brad Hogg,15,5,2,22,13,7.33,22,100.0,0,0,1,0
419,Kamlesh Nagarkoti,11,7,3,22,8*,5.5,33,66.67,0,0,1,0
420,B Indrajith,3,3,0,21,15,7.0,30,70.0,0,0,2,0
421,Tushar Deshpande,5,2,1,21,20*,21.0,12,175.0,0,0,2,1
422,Siddarth Kaul,53,12,8,20,7*,5.0,36,55.56,0,0,1,0
423,Alzarri Joseph,12,5,4,20,15*,20.0,20,100.0,0,0,2,0
424,Pradeep Sangwan,26,10,3,20,6*,2.86,34,58.82,0,0,1,0
425,Mohammad Hafeez,8,3,1,20,13,10.0,22,90.91,0,0,2,1
426,Rohan Raje,10,5,4,20,11*,20.0,18,111.11,0,0,1,1
427,Harpreet Singh,3,3,1,20,13,10.0,26,76.92,0,0,0,0
428,Nic Maddinson,3,3,0,20,12,6.67,21,95.24,0,0,4,0
429,Rajesh Bishnoi,3,3,0,19,18,6.33,17,111.76,0,0,1,2
430,Damien Martyn,1,1,0,19,19,19.0,24,79.17,0,0,1,0
431,Y Gnaneswara Rao,2,1,0,19,19,19.0,17,111.76,0,0,3,0
432,Pradeep Sahu,5,2,1,19,18*,19.0,13,146.15,0,0,1,1
433,Vishnu Vinod,3,3,0,19,9,6.33,26,73.08,0,0,1,1
434,Muttiah Muralitharan,28,7,3,19,6,4.75,25,76.0,0,0,1,0
435,Alfonso Thomas,4,2,0,19,12,9.5,15,126.67,0,0,1,1
436,Prayas Ray Barman,1,1,0,19,19,19.0,24,79.17,0,0,2,0
437,Abhinav Mukund,3,2,0,19,19,9.5,22,86.36,0,0,1,0
438,Darren Lehmann,2,2,0,18,17,9.0,18,100.0,0,0,3,0
439,Rahul Shukla,3,3,2,18,14,18.0,21,85.71,0,0,2,0
440,Brad Haddin,1,1,0,18,18,18.0,11,163.64,0,0,2,1
441,David Willey,4,2,0,18,18,9.0,30,60.0,0,0,3,0
442,Doug Bollinger,8,2,2,18,16*,18.0,17,105.88,0,0,1,1
443,Nathan Ellis,3,2,1,18,12,18.0,16,112.5,0,0,0,1
444,Tom Banton,2,2,0,18,10,9.0,20,90.0,0,0,1,1
445,Josh Hazlewood,12,5,5,18,7*,18.0,26,69.23,0,0,1,0
446,Johan van der Wath,3,3,1,18,14*,9.0,16,112.5,0,0,1,1
447,Keemo Paul,8,6,1,18,7,3.6,24,75.0,0,0,1,1
448,Parveez Rasool,8,4,2,17,10,8.5,20,85.0,0,0,1,0
449,Chetan Sakariya,14,6,1,16,7,3.2,25,64.0,0,0,2,0
450,Chamara Kapugedera,5,3,0,16,8,5.33,23,69.57,0,0,0,0
451,Isuru Udana,10,4,1,15,10*,5.0,11,136.36,0,0,1,1
452,Siddhesh Lad,1,1,0,15,15,15.0,13,115.38,0,0,1,1
453,Chandan Madan,1,1,0,15,15,15.0,19,78.95,0,0,3,0
454,James Pattinson,10,2,1,15,11,15.0,13,115.38,0,0,2,0
455,Graham Napier,1,1,0,15,15,15.0,16,93.75,0,0,1,0
456,Harmeet Singh Bansal,7,2,1,15,14,15.0,7,214.29,0,0,3,0
457,Pravin Tambe,30,5,3,15,7*,7.5,33,45.45,0,0,1,0
458,Yo Mahesh,11,5,3,15,6*,7.5,27,55.56,0,0,0,0
459,Jhye Richardson,3,2,0,15,15,7.5,24,62.5,0,0,2,0
460,Virat Singh,3,2,0,15,11,7.5,26,57.69,0,0,1,0
461,Fabian Allen,5,4,2,14,8,7.0,19,73.68,0,0,1,0
462,Abu Nechim,7,4,3,14,5*,14.0,6,233.33,0,0,3,0
463,Farhaan Behardien,3,3,1,14,9*,7.0,13,107.69,0,0,2,0
464,Kushal Janith Perera,2,2,0,14,14,7.0,13,107.69,0,0,3,0
465,Simran Singh,1,1,0,14,14,14.0,11,127.27,0,0,2,0
466,Kartik Tyagi,16,7,3,13,7,3.25,16,81.25,0,0,1,0
467,Dhruv Shorey,2,2,0,13,8,6.5,17,76.47,0,0,0,1
468,Kyle Abbott,5,3,2,13,12*,13.0,8,162.5,0,0,0,1
469,Samuel Badree,7,5,0,13,8,2.6,23,56.52,0,0,0,0
470,Devraj Patil,2,2,0,13,9,6.5,13,100.0,0,0,1,0
471,Mujeeb Ur Rahman,19,7,4,12,10*,4.0,15,80.0,0,0,2,0
472,Doug Bracewell,1,1,1,12,12*,12.0,9,133.33,0,0,1,0
473,Karanveer Singh,9,4,3,12,5*,12.0,17,70.59,0,0,1,0
474,Ankit Bawne,1,1,1,12,12*,12.0,12,100.0,0,0,1,0
475,Swapnil Singh,5,3,0,12,10,4.0,20,60.0,0,0,0,0
476,Rasikh Salam,3,2,1,12,7,12.0,10,120.0,0,0,1,0
477,Mustafizur Rahman,29,8,7,12,8*,12.0,22,54.55,0,0,0,1
478,Thilan Thushara,6,4,2,12,8,6.0,18,66.67,0,0,0,0
479,Rajangad Bawa,2,2,0,11,11,5.5,14,78.57,0,0,1,0
480,Krishnakant Upadhyay,1,1,1,11,11*,11.0,8,137.5,0,0,0,1
481,Tyron Henderson,2,2,0,11,11,5.5,16,68.75,0,0,0,1
482,Nuwan Zoysa,3,2,1,11,10*,11.0,9,122.22,0,0,1,0
483,Makhaya Ntini,9,2,1,11,11,11.0,18,61.11,0,0,2,0
484,Taruwar Kohli,4,4,1,11,7,3.67,19,57.89,0,0,0,1
485,Pragyan Ojha,53,17,7,11,4,1.1,33,33.33,0,0,0,0
486,Ankeet Chavan,8,2,1,11,7*,11.0,8,137.5,0,0,2,0
487,Tim Paine,2,2,0,10,8,5.0,26,38.46,0,0,0,0
488,Juan Theron,10,4,2,10,7*,5.0,12,83.33,0,0,1,0
489,Kemar Roach,2,1,0,10,10,10.0,9,111.11,0,0,1,0
490,Dillon du Preez,2,1,0,10,10,10.0,13,76.92,0,0,0,0
491,Thalaivan Sargunam,1,1,0,10,10,10.0,17,58.82,0,0,0,0
492,Barinder Sran,22,9,8,10,3*,10.0,14,71.43,0,0,0,0
493,Sachithra Senanayake,8,4,3,10,7*,10.0,17,58.82,0,0,0,0
494,Ashley Noffke,1,1,0,9,9,9.0,10,90.0,0,0,1,0
495,Prasidh Krishna,51,10,7,9,4*,3.0,24,37.5,0,0,0,0
496,Shane Harwood,3,2,2,9,6*,9.0,14,64.29,0,0,0,0
497,Marco Jansen,10,5,2,9,8*,3.0,10,90.0,0,0,0,1
498,Charl Langeveldt,3,1,0,8,8,8.0,8,100.0,0,0,0,1
499,Tymal Mills,5,3,0,8,6,2.67,11,72.73,0,0,0,1
500,Prashant Chopra,1,1,0,8,8,8.0,6,133.33,0,0,2,0
501,Javon Searles,4,2,1,8,6*,8.0,6,133.33,0,0,0,1
502,Jaskaran Singh,6,4,3,8,4*,8.0,11,72.73,0,0,0,0
503,Tanmay Srivastava,7,3,2,8,7,8.0,11,72.73,0,0,0,0
504,Anrich Nortje,22,6,5,8,3*,8.0,12,66.67,0,0,0,0
505,Ravi Bishnoi,23,4,2,8,6*,4.0,16,50.0,0,0,1,0
506,Srikar Bharat,2,2,0,8,8,4.0,7,114.29,0,0,2,0
507,Clint McKay,2,1,0,8,8,8.0,15,53.33,0,0,0,0
508,Obed McCoy,7,1,0,8,8,8.0,5,160.0,0,0,0,1
509,Udit Birla,2,1,0,7,7,7.0,14,50.0,0,0,1,0
510,Ishan Malhotra,1,1,1,7,7*,7.0,4,175.0,0,0,1,0
511,Arindam Ghosh,2,2,0,7,7,3.5,8,87.5,0,0,1,0
512,Maheesh Theekshana,9,2,1,7,7*,7.0,7,100.0,0,0,0,1
513,Simarjeet Singh,6,3,2,7,3*,7.0,8,87.5,0,0,0,0
514,Pankaj Singh,10,5,3,7,4*,3.5,12,58.33,0,0,0,0
515,Ish Sodhi,8,2,0,7,6,3.5,17,41.18,0,0,0,0
516,Vikramjeet Malik,4,2,1,7,6,7.0,7,100.0,0,0,1,0
517,Pravin Dubey,3,1,1,7,7*,7.0,13,53.85,0,0,0,0
518,Ricky Bhui,2,2,0,7,7,3.5,17,41.18,0,0,0,0
519,Ankit Soni,7,3,1,7,7*,3.5,9,77.78,0,0,0,1
520,Bhargav Bhatt,5,1,1,6,6*,6.0,2,300.0,0,0,0,1
521,Peter Handscomb,2,1,0,6,6,6.0,12,50.0,0,0,0,0
522,Darren Bravo,1,1,1,6,6*,6.0,5,120.0,0,0,1,0
523,Mukesh Choudhary,13,2,1,6,4,6.0,6,100.0,0,0,1,0
524,Shoaib Shaikh,2,1,0,6,6,6.0,7,85.71,0,0,1,0
525,Sunil Joshi,4,2,0,6,3,3.0,14,42.86,0,0,0,0
526,Nuwan Kulasekara,5,1,1,5,5*,5.0,3,166.67,0,0,1,0
527,Aman Khan,1,1,0,5,5,5.0,3,166.67,0,0,1,0
528,Billy Stanlake,4,1,1,5,5*,5.0,2,250.0,0,0,1,0
529,Shalabh Srivastava,14,4,3,5,3*,5.0,5,100.0,0,0,0,0
530,Shivam Sharma,4,2,1,5,4,5.0,3,166.67,0,0,1,0
531,Ali Murtaza,3,1,0,5,5,5.0,4,125.0,0,0,1,0
532,Ben Laughlin,9,4,2,5,4*,2.5,13,38.46,0,0,0,0
533,Adam Zampa,11,2,0,5,5,2.5,8,62.5,0,0,1,0
534,Vaibhav Arora,5,4,2,5,2*,2.5,13,38.46,0,0,0,0
535,Reetinder Sodhi,3,1,1,4,4*,4.0,2,200.0,0,0,1,0
536,Glenn McGrath,14,3,2,4,4*,4.0,5,80.0,0,0,1,0
537,Ajit Chandila,8,1,1,4,4*,4.0,6,66.67,0,0,0,0
538,Parvinder Awana,12,2,2,4,4*,4.0,5,80.0,0,0,0,0
539,Dirk Nannes,9,2,1,4,3,4.0,13,30.77,0,0,0,0
540,Vikram Singh,13,2,0,4,4,2.0,3,133.33,0,0,1,0
541,Akila Dananjaya,1,1,1,4,4*,4.0,5,80.0,0,0,0,0
542,Amit Uniyal,2,2,1,4,4*,4.0,7,57.14,0,0,0,0
543,Umran Malik,14,4,3,4,3*,4.0,8,50.0,0,0,0,0
544,Abhijeet Tomar,1,1,0,4,4,4.0,8,50.0,0,0,1,0
545,Karan Sharma,1,1,0,4,4,4.0,4,100.0,0,0,1,0
546,Prerak Mankad,1,1,1,4,4*,4.0,1,400.0,0,0,1,0
547,Dilhara Fernando,10,2,2,4,2*,4.0,3,133.33,0,0,0,0
548,Doddapaneni Kalyankrishna,3,1,0,3,3,3.0,8,37.5,0,0,0,0
549,Kumar Kartikeya Singh,4,1,0,3,3,3.0,5,60.0,0,0,0,0
550,Ryan Ninan,2,1,0,3,3,3.0,6,50.0,0,0,0,0
551,Sudeep Tyagi,6,1,1,3,3*,3.0,4,75.0,0,0,0,0
552,Ashton Turner,4,4,1,3,3*,1.0,10,30.0,0,0,0,0
553,Kamran Khan,5,1,0,3,3,3.0,5,60.0,0,0,0,0
554,Hardus Viljoen,6,3,1,3,2*,1.5,7,42.86,0,0,0,0
555,T Natarajan,16,3,3,3,3*,3.0,5,60.0,0,0,0,0
556,Younis Khan,1,1,0,3,3,3.0,7,42.86,0,0,0,0
557,Mohammad Asif,8,2,0,3,3,1.5,6,50.0,0,0,0,0
558,Fazalhaq Farooqi,3,1,1,2,2*,2.0,8,25.0,0,0,0,0
559,Shoaib Akhtar,3,1,0,2,2,2.0,7,28.57,0,0,0,0
560,George Garton,5,3,2,2,2*,2.0,4,50.0,0,0,0,0
561,Tabraiz Shamsi,1,1,1,2,2*,2.0,4,50.0,0,0,0,0
562,Tristan Stubbs,2,2,0,2,2,1.0,4,50.0,0,0,0,0
563,Harshit Rana,2,2,1,2,2,2.0,2,100.0,0,0,0,0
564,KP Appanna,7,3,2,2,1*,2.0,4,50.0,0,0,0,0
565,Halhadar Das,1,1,0,2,2,2.0,5,40.0,0,0,0,0
566,Ronit More,2,1,1,2,2*,2.0,2,100.0,0,0,0,0
567,Vikrant Yeligati,2,1,0,2,2,2.0,2,100.0,0,0,0,0
568,Mashrafe Mortaza,1,1,1,2,2*,2.0,2,100.0,0,0,0,0
569,Rohan Gavaskar,2,1,0,2,2,2.0,8,25.0,0,0,0,0
570,Mohammad Ashraful,1,1,0,2,2,2.0,10,20.0,0,0,0,0
571,Amit Singh,5,2,1,1,1*,1.0,3,33.33,0,0,0,0
572,Paidikalva Vijaykumar,9,2,2,1,1*,1.0,1,100.0,0,0,0,0
573,Domnic Joseph,6,2,1,1,1,1.0,3,33.33,0,0,0,0
574,Marchant de Lange,1,1,0,1,1,1.0,2,50.0,0,0,0,0
575,Beuran Hendricks,7,3,2,1,1*,1.0,3,33.33,0,0,0,0
576,Shane Bond,8,1,0,1,1,1.0,2,50.0,0,0,0,0
577,Mark Wood,1,1,0,1,1,1.0,3,33.33,0,0,0,0
578,PM Sarvesh Kumar,2,1,1,1,1*,1.0,2,50.0,0,0,0,0
579,Liam Plunkett,7,2,1,1,1*,1.0,3,33.33,0,0,0,0
580,Khaleel Ahmed,23,3,0,1,1,0.33,5,20.0,0,0,0,0
581,Harry Gurney,8,1,1,1,1*,1.0,5,20.0,0,0,0,0
582,Shoaib Ahmed,7,3,1,1,1*,0.5,6,16.67,0,0,0,0
583,Shivil Kaushik,7,2,1,0,0,0.0,1,0.0,0,0,0,0
584,Abdur Razzak,1,1,1,0,0,0.0,2,0.0,0,0,0,0
585,Sandeep Lamichhane,6,1,0,0,0,0.0,1,0.0,0,0,0,0
586,Joe Denly,1,1,0,0,0,0.0,1,0.0,0,0,0,0
587,Prithvi Raj Yarra,2,1,1,0,0,0.0,1,0.0,0,0,0,0
588,Sheldon Cottrell,6,1,0,0,0,0.0,2,0.0,0,0,0,0
589,Ajantha Mendis,4,1,0,0,0,0.0,1,0.0,0,0,0,0
590,Chetanya Nanda,3,1,0,0,0,0.0,1,0.0,0,0,0,0
591,Kuldip Yadav,1,1,1,0,0,0.0,4,0.0,0,0,0,0
